NOC,Country Name,medal_type,medal_code,medal_date,Gold,Silver,Bronze,Total,event_type,name,gender,is_team_event,Cluster,height,weight,discipline,event,birth_date,birth_country,residence_country,hobbies,occupation,language,coach,sporting_relatives
AUS,Australia,Bronze,3,8/1/24,18,19,16,53,ATH,jemima montag,W,FALSE,3,158,0,Athletics,Women's 20km Race Walk,2/15/98,Australia,Australia,"Cooking, playing various musical instruments, learning languages, travelling, public speaking and debating",Athlete,"English, Spanish",Personal: Brent Vallance (AUS),
AUS,Australia,Gold,1,8/1/24,18,19,16,53,TEAM,team-achievement,W,TRUE,3,,,Swimming,Women's 4 x 200m Freestyle Relay,,,,,,,,
AUS,Australia,Gold,1,8/2/24,18,19,16,53,ATH,saya sakakibara,W,FALSE,3,0,0,Cycling BMX Racing,Women,8/23/99,Australia,Australia,,"Athlete, public Speaker","English, Japanese",,"Brother, Kai (BMX racing), competed on the international level.</p><p>Partner, Romain Mahieu (BMX racing), competes for France at the Olympic Games Paris 2024"
AUS,Australia,Bronze,3,8/2/24,18,19,16,53,TEAM,team-achievement,W,TRUE,3,,,Rowing,Women's Pair,,,,,,,,
AUS,Australia,Gold,1,8/2/24,18,19,16,53,ATH,cameron mcevoy,M,FALSE,3,0,0,Swimming,Men's 50m Freestyle,5/13/94,Australia,Australia,"Rock climbing, surf life saving, Australian rules football, supporting US basketball team the Los Angeles Lakers, physics",,English,Club: Tim Lane (AUS),
AUS,Australia,Gold,1,8/2/24,18,19,16,53,ATH,kaylee mckeown,W,FALSE,3,0,0,Swimming,Women's 200m Backstroke,7/12/01,Australia,Australia,Going to the beach,"Athlete, student",English,Club: Michael Bohl (AUS),"Sister, Taylor McKeown (swimming), 2016 Olympic Games silver medallist (4x100m medley relay) and 2014 Commonwealth Games gold medallist (200m breaststroke)"
AUS,Australia,Silver,2,8/3/24,18,19,16,53,ATH,grae morris,M,FALSE,3,0,0,Sailing,Men's Windsurfing,10/16/03,Australia,Australia,Anything on the water,Athlete,English,"Personal: Brett Morris (AUS) father, an Australian national windsurfing champion.<br>National: Arthur Brett (AUS), two-time Contender Class World Championships gold medallist","Father, Brett Morris (sailing), an Australian national windsurfing champion"
AUS,Australia,Bronze,3,8/3/24,18,19,16,53,TEAM,team-achievement,X,TRUE,3,,,Swimming,Mixed 4 x 100m Medley Relay,,,,,,,,
AUS,Australia,Bronze,3,8/3/24,18,19,16,53,ATH,kaylee mckeown,W,FALSE,3,0,0,Swimming,Women's 200m Individual Medley,7/12/01,Australia,Australia,Going to the beach,"Athlete, student",English,Club: Michael Bohl (AUS),"Sister, Taylor McKeown (swimming), 2016 Olympic Games silver medallist (4x100m medley relay) and 2014 Commonwealth Games gold medallist (200m breaststroke)"
AUS,Australia,Silver,2,8/3/24,18,19,16,53,ATH,ariarne titmus,W,FALSE,3,0,0,Swimming,Women's 800m Freestyle,9/7/00,Australia,Australia,Cooking,Athlete,English,Club: Dean Boxall (AUS),
AUS,Australia,Gold,1,8/3/24,18,19,16,53,HCOUP,ebdenpeers,M,TRUE,3,,,Tennis,Men's Doubles,,,,,,,,
AUS,Australia,Silver,2,8/4/24,18,19,16,53,ATH,nicola olyslagers,W,FALSE,3,186,0,Athletics,Women's High Jump,12/28/96,Australia,Australia,Playing the piano,"Athlete. Runs Everlasting Crowns, a ministry dedicated to encouraging and teaching athletes",English,"Personal: Matt Horsnell (AUS), from 2007 when she was 11 years old",
AUS,Australia,Bronze,3,8/4/24,18,19,16,53,ATH,eleanor patterson,W,FALSE,3,182,0,Athletics,Women's High Jump,5/22/96,Australia,Australia,"Likes to knit, read, sketch and draw portraits. Enjoys time at the beach, particularly stand-up paddle boarding at Inverloch",Athlete,English,Personal: Alex Stewart (AUS),"Cousins, Jarryd and Jordan Roughead (Australian Football League), who she grew up with in Leongatha, VIC (AUS)"
AUS,Australia,Silver,2,8/4/24,18,19,16,53,TEAM,team-achievement,W,TRUE,3,,,Swimming,Women's 4 x 100m Medley Relay,,,,,,,,
AUS,Australia,Silver,2,8/4/24,18,19,16,53,ATH,meg harris,W,FALSE,3,0,0,Swimming,Women's 50m Freestyle,3/7/02,Australia,Australia,Spending time with friends,Athlete,English,Club: Damien Jones,
AUS,Australia,Gold,1,8/5/24,18,19,16,53,ATH,noemie fox,W,FALSE,3,0,0,Canoe Slalom,Women's Kayak Cross,3/19/97,France,France,"Reading, hiking, spending time at the beach",Athlete,"English, French, Spanish","Personal: Myriam Fox (FRA), her mother","Father, Richard Fox (canoe slalom), represented United Kingdom at the Barcelona 1992 Olympic Games, finishing fourth in K1 slalom, missing the podium by 0.33 seconds. Ten-time world championship gold medallist from 1979 to 1993.</p><p>Mother, Myriam Fox-Jerusalmi (canoe slalom), two-time French Olympian (1992, 1996) claiming K1 slalom bronze at Atlanta 1996. Eight-time world championship gold medallist from 1983 to 1995, adding two silver medals in 1987.</p><p>Sister, Jessica Fox (canoe slalom), four-time Olympic medallist (one gold, one silver, two bronze), 10-time individual world champion.</p><p>Aunt, Rachel Fox-Crosbee (canoe slalom), two-time British Olympian (1992, 1996). Four-time world championship K1 team medallist (one silver, three bronze)"
AUS,Australia,Silver,2,8/5/24,18,19,16,53,HATH,jack robinson,M,FALSE,3,0,0,Surfing,Men,12/27/97,Australia,,,Athlete,English,"Leandro Dora (BRA), from mid 2021",
AUS,Australia,Bronze,3,8/6/24,18,19,16,53,TEAM,team-achievement,M,TRUE,3,,,Cycling Track,Men's Team Sprint,,,,,,,,
AUS,Australia,Gold,1,8/6/24,18,19,16,53,ATH,arisa trew,W,FALSE,3,0,0,Skateboarding,Women's Park,5/12/10,Australia,Australia,"Surfing, swimming at the beach, hanging out with friends",,English,,
AUS,Australia,Bronze,3,8/7/24,18,19,16,53,TEAM,cowley rmontag j,X,TRUE,3,0,0,Athletics,Marathon Race Walk Relay Mixed,10/10/07,,Australia,,"Athlete, student",English,,
AUS,Australia,Bronze,3,8/7/24,18,19,16,53,ATH,matthew denny,M,FALSE,3,195,0,Athletics,Men's Discus Throw,6/2/96,Australia,Australia,"Motorsport, golf",Radio host on Nova 106.9 on Saturday mornings with Angie Kent,English,"Personal: Dale Stevenson (AUS), since 2023","Wife, Mia Cunningham (athletics), former domestically ranked javelin thrower"
AUS,Australia,Gold,1,8/7/24,18,19,16,53,ATH,nina kennedy,W,FALSE,3,167,0,Athletics,Women's Pole Vault,4/5/97,Australia,Australia,Going to the beach,"Athlete, student",English,Personal: Paul Burgess (AUS),
AUS,Australia,Gold,1,8/7/24,18,19,16,53,TEAM,team-achievement,M,TRUE,3,,,Cycling Track,Men's Team Pursuit,,,,,,,,
AUS,Australia,Gold,1,8/7/24,18,19,16,53,ATH,matt wearn,M,FALSE,3,0,0,Sailing,Men's Dinghy,9/30/95,Australia,Australia,,"Athlete, coach, motivational speaker",English,"National: Belinda Stowell (AUS), 2000 Olympic champion (470) and three-time Olympian (2000, 2004, 2008).</p><p>National: Michael Blackburn (AUS), 2000 Olympic Games bronze medallist (Laser), three-time Olympian (1996, 2000, 2004).</p><p>Personal: Rafa Trujillo (ESP), 2004 Olympic silver medallist (Finn), four-time Olympian (2000, 2004, 2008, 2012)","Wife, Emma Plasschaert (sailing), Tokyo 2020 Olympian, four-time world championships medallist (two gold, two bronze)"
AUS,Australia,Gold,1,8/7/24,18,19,16,53,ATH,keegan palmer,M,FALSE,3,0,0,Skateboarding,Men's Park,3/13/03,United States,United States,"Surfing. ""If surfing's still there when I complete everything I want to do in skating, then I guess I'll do it, but I'm just really focused on the skating part and just surf for fun with friends and family."" (myInfo)",Athlete,English,,
AUS,Australia,Bronze,3,8/8/24,18,19,16,53,HATH,charlie senior,M,FALSE,3,178,0,Boxing,Men's 57kg,11/20/01,United Kingdom,Australia,,,English,Club: Justin Lacey (AUS),
AUS,Australia,Bronze,3,8/8/24,18,19,16,53,HATH,caitlin parker,W,FALSE,3,175,0,Boxing,Women's 75kg,4/17/96,Australia,Australia,,Athlete,English,National/Club: Marcos Amado (URU/AUS),
AUS,Australia,Silver,2,8/8/24,18,19,16,53,TEAM,team-achievement,M,TRUE,3,,,Canoe Sprint,Men's Kayak Four 500m,,,,,,,,
AUS,Australia,Silver,2,8/8/24,18,19,16,53,ATH,moesha johnson,W,FALSE,3,0,0,Marathon Swimming,Women's 10km,9/19/97,Australia,Germany,,Athlete,English,Club: Bernd Berkhahn,
ROU,Australia,Bronze,3,8/9/24,18,19,16,53,COUP,van der wegreen,M,TRUE,3,0,0,Canoe Sprint,Men's Kayak Double 500m,5/21/95,Romania,Romania,"Listening to music, reading, walking",Athlete,"English, Romanian",,
AUS,Australia,Silver,2,8/9/24,18,19,16,53,ATH,matthew richardson,M,FALSE,3,0,0,Cycling Track,Men's Sprint,4/17/99,United Kingdom,Australia,,Athlete,English,,
AUS,Australia,Silver,2,8/9/24,18,19,16,53,ATH,maddison keeney,W,FALSE,3,0,0,Diving,Women's 3m Springboard,5/23/96,New Zealand,Australia,Collecting Pokemon toys,Works for a major insurance company in Brisbane (AUS),English,Ady Hinchliffe (GBR),
AUS,Australia,Silver,2,8/10/24,18,19,16,53,ATH,jessica hull,W,FALSE,3,165,0,Athletics,Women's 1500m,10/22/96,Australia,Australia,,Athlete,English,,"Husband, Daniel Jolliffe (hockey), represented Australia internationally in indoor field hockey.</p><p>Father, Simon Hull (athletics), former middle-distance runner"
AUS,Australia,Silver,2,8/10/24,18,19,16,53,HTEAM,team-achievement,W,FALSE,3,,,Water Polo,Women,,,,,,,,
